program_id,course_title,url,lo_num,lo,bloom
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,1,Systems and Application Security,apply
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,2,Course 7 - Systems and Application Security,apply
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,3,This is the seventh course under the specialization SSCP.,apply
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,4,This course discusses two major changes in recent years to how we use our data: going mobile and using the cloud.,create
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,5,"First, we use our data on the go by means of data services provided to our mobile phones, Wi-Fi, and other devices.",create
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,6,"Second, so many of the enhanced functions we take for granted in our daily personal and professional lives are made possible by cloud services, where our data is stored or processed.",apply
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,7,"Course 7 Learning Objectives After completing this course, the participant will be able to: - Classify different types of malware.",apply
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,8,Determine how to implement malware countermeasures.,apply
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,9,Identify various types of malicious activities.,apply
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,10,Develop strategies for mitigating malicious activities.,apply
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,11,Describe various social engineering methods used by attackers.,apply
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,12,Explain the role of behavior analytics technologies in detecting and mitigating threats.,apply
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,13,"Explain the role and functionality of host-based intrusion prevention system (HIPS), host-based intrusion detection system (HIDS), and host-based firewalls.",apply
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,14,Evaluate the benefits of application whitelisting in endpoint device security.,apply
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,15,Explain the concept of endpoint encryption and its role in endpoint security.,apply
