program_id,course_title,url,learning_objective,max_similarity,best_match_content,is_covered
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Systems and Application Security,0.5271211266517639,Security Strategies for Endpoints,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Course 7 - Systems and Application Security,0.49194157123565674,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,This is the seventh course under the specialization SSCP.,0.2407020926475525,Essential Requirements in P&DP Laws,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,This course discusses two major changes in recent years to how we use our data: going mobile and using the cloud.,0.2716100811958313,Virtual Machines,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"First, we use our data on the go by means of data services provided to our mobile phones, Wi-Fi, and other devices.",0.2940109968185425,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"Second, so many of the enhanced functions we take for granted in our daily personal and professional lives are made possible by cloud services, where our data is stored or processed.",0.3533404469490051,The Five Essential Characteristics of Clouds,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"Course 7 Learning Objectives After completing this course, the participant will be able to: - Classify different types of malware.",0.5823982357978821,Malware Attackers,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Determine how to implement malware countermeasures.,0.6594685912132263,Malware Attackers,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Identify various types of malicious activities.,0.6205403804779053,Malware Attackers,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Develop strategies for mitigating malicious activities.,0.5933005213737488,Malware Attackers,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Describe various social engineering methods used by attackers.,0.604841947555542,"Threats, Attacks, and Countermeasures",True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Explain the role of behavior analytics technologies in detecting and mitigating threats.,0.4905904531478882,"Threats, Attacks, and Countermeasures",False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"Explain the role and functionality of host-based intrusion prevention system (HIPS), host-based intrusion detection system (HIDS), and host-based firewalls.",0.38884299993515015,"Threats, Attacks, and Countermeasures",False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Evaluate the benefits of application whitelisting in endpoint device security.,0.6060175895690918,Security Strategies for Endpoints,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Explain the concept of endpoint encryption and its role in endpoint security.,0.6403341293334961,Security Strategies for Endpoints,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Describe the role and functionality of Trusted Platform Module (TPM) technology in providing hardware-based security features.,0.3640204071998596,Virtualization Attacks,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Identify the steps in implementing secure browsing practices using digital certificates and secure communication protocols.,0.3518044948577881,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"Explain the concept of endpoint detection and response (EDR) and its role in providing real-time monitoring, detection, investigation, and response capabilities to identify and mitigate advanced threats and security incidents on endpoint devices.",0.4930804371833801,Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Identify provisioning techniques for mobile devices.,0.2705090045928955,Virtualization,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Explain the concept of containerization and how it contributes to effective mobile device management.,0.3646049499511719,Virtualization,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Explain how encryption contributes to effective mobile device management.,0.3275590240955353,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Describe the process of Mobile Application Management (MAM) to effectively manage the life cycle of mobile applications.,0.2763265371322632,Virtual Machines,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,"Distinguish among public, private, hybrid, and community deployment models in cloud security.",0.41700124740600586,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Distinguish among various service models and their impact on cloud security practices.,0.3700418472290039,Security Strategies for Endpoints,False
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Describe virtualization technologies and their role in maintaining cloud security.,0.7281377911567688,Virtualization Attacks,True
0,Systems and Application Security,https://www.coursera.org/learn/systems-and-application-security,Identify legal and regulatory concerns related to cloud security.,0.3985913395881653,"Threats, Attacks, and Countermeasures",False
