program_id,course_title,num_modules,lo_description,lo_skills,course_description,url,lo
0,Systems and Application Security,1,,,"Course 7 -  Systems and Application Security;This is the seventh course under the specialization SSCP.

This course discusses two major changes in recent years to how we use our data: going mobile and using the cloud. First, we use our data on the go by means of data services provided to our mobile phones, Wi-Fi, and other devices. Second, so many of the enhanced functions we take for granted in our daily personal and professional lives are made possible by cloud services, where our data is stored or processed.  

Course 7 Learning Objectives

After completing this course, the participant will be able to:  

- Classify different types of malware.  
- Determine how to implement malware countermeasures.  
- Identify various types of malicious activities.   
- Develop strategies for mitigating malicious activities.   
- Describe various social engineering methods used by attackers.   
- Explain the role of behavior analytics technologies in detecting and mitigating threats.   
- Explain the role and functionality of host-based intrusion prevention system (HIPS), host-based intrusion detection system (HIDS), and host-based firewalls.   
- Evaluate the benefits of application whitelisting in endpoint device security.   
- Explain the concept of endpoint encryption and its role in endpoint security.   
- Describe the role and functionality of Trusted Platform Module (TPM) technology in providing hardware-based security features.   
- Identify the steps in implementing secure browsing practices using digital certificates and secure communication protocols.   
- Explain the concept of endpoint detection and response (EDR) and its role in providing real-time monitoring, detection, investigation, and response capabilities to identify and mitigate advanced threats and security incidents on endpoint devices.   
- Identify provisioning techniques for mobile devices.   
- Explain the concept of containerization and how it contributes to effective mobile device management.   
- Explain how encryption contributes to effective mobile device management.   
- Describe the process of Mobile Application Management (MAM) to effectively manage the life cycle of mobile applications.   
- Distinguish among public, private, hybrid, and community deployment models in cloud security.   
- Distinguish among various service models and their impact on cloud security practices.   
- Describe virtualization technologies and their role in maintaining cloud security.   
- Identify legal and regulatory concerns related to cloud security.   
- Determine strategies to implement data storage, processing, and transmission while maintaining cloud security.   
- Explain the requirements and considerations associated with third-party services and outsourcing in cloud storage.   
- Explain the concept of the shared responsibility model in cloud storage.   
- Identify steps to manage and secure hypervisor environments.   
- Explain how to deploy, configure, and maintain virtual appliances within virtualized environments.   
- Determine the process for managing containerized environments.   
- Describe the best practices of storage management in virtualized environments.   
- Develop strategies for ensuring business continuity and resilience in virtualized environments.   
- Analyze potential threats and attacks targeting virtual environments. 

Who Should Take This Course: Beginners
Experience Required: No prior experience required",https://www.coursera.org/learn/systems-and-application-security,"Systems and Application Security; Course 7 - Systems and Application Security;This is the seventh course under the specialization SSCP.; This course discusses two major changes in recent years to how we use our data: going mobile and using the cloud.; First, we use our data on the go by means of data services provided to our mobile phones, Wi-Fi, and other devices.; Second, so many of the enhanced functions we take for granted in our daily personal and professional lives are made possible by cloud services, where our data is stored or processed.; Course 7 Learning Objectives After completing this course, the participant will be able to: - Classify different types of malware.; Determine how to implement malware countermeasures.; Identify various types of malicious activities.; Develop strategies for mitigating malicious activities.; Describe various social engineering methods used by attackers.; Explain the role of behavior analytics technologies in detecting and mitigating threats.; Explain the role and functionality of host-based intrusion prevention system (HIPS), host-based intrusion detection system (HIDS), and host-based firewalls.; Evaluate the benefits of application whitelisting in endpoint device security.; Explain the concept of endpoint encryption and its role in endpoint security.; Describe the role and functionality of Trusted Platform Module (TPM) technology in providing hardware-based security features.; Identify the steps in implementing secure browsing practices using digital certificates and secure communication protocols.; Explain the concept of endpoint detection and response (EDR) and its role in providing real-time monitoring, detection, investigation, and response capabilities to identify and mitigate advanced threats and security incidents on endpoint devices.; Identify provisioning techniques for mobile devices.; Explain the concept of containerization and how it contributes to effective mobile device management.; Explain how encryption contributes to effective mobile device management.; Describe the process of Mobile Application Management (MAM) to effectively manage the life cycle of mobile applications.; Distinguish among public, private, hybrid, and community deployment models in cloud security.; Distinguish among various service models and their impact on cloud security practices.; Describe virtualization technologies and their role in maintaining cloud security.; Identify legal and regulatory concerns related to cloud security.; Determine strategies to implement data storage, processing, and transmission while maintaining cloud security.; Explain the requirements and considerations associated with third-party services and outsourcing in cloud storage.; Explain the concept of the shared responsibility model in cloud storage.; Identify steps to manage and secure hypervisor environments.; Explain how to deploy, configure, and maintain virtual appliances within virtualized environments.; Determine the process for managing containerized environments.; Describe the best practices of storage management in virtualized environments.; Develop strategies for ensuring business continuity and resilience in virtualized environments.; Analyze potential threats and attacks targeting virtual environments.; Who Should Take This Course: Beginners Experience Required: No prior experience required"
0,Security Concepts and Practices,1,,,"Course 1 -  Security Concepts and Practices;This is the first course under the specialization SSCP.

In this course, we will focus on the core aspects of security concepts and practice, starting with the importance of codes of ethics. We will then cover the basic principles of information security and move on to describe security controls, their implementation, maintenance, and assessment. We will also address the identification of corporate assets and the change management life cycle. We will then explain the importance of awareness and training and conclude with an exploration of physical security operations.  

Course 1 Learning Objectives

After completing this course, the participant will be able to:  

- Recall the ISC2 Code of Ethics. 
- Explain the importance of an organizational code of ethics in the cybersecurity profession. 
- Compare the security concepts of confidentiality, integrity, and availability. 
- Apply accountability in the implementation of certain data protection controls. 
- Explain the concept of non-repudiation. 
- Discuss the concept of least privilege. 
- Indicate the importance of segregation of duties. 
- Differentiate technical, physical, and administrative security controls. 
- Relate security controls to considerations of assessing compliance requirements and organizational needs. 
- Indicate the importance of periodic audit and review of security controls. 
- Categorize various control types or technologies based on their different roles as part of an overall security structure and posture. 
- Summarize the security of assets all through the stages of their life cycle. 
- Examine operational requirements of change management. 
- Categorize security education and awareness strategies. 
- Define measurements for gauging the effectiveness of a security education and awareness program.
- Indicate strategies that security professionals can use to collaborate with physical security operations. 

Who Should Take This Course: Beginners
Experience Required: No prior experience required",https://www.coursera.org/learn/security-concepts-and-practices,"Security Concepts and Practices; Course 1 - Security Concepts and Practices;This is the first course under the specialization SSCP.; In this course, we will focus on the core aspects of security concepts and practice, starting with the importance of codes of ethics.; We will then cover the basic principles of information security and move on to describe security controls, their implementation, maintenance, and assessment.; We will also address the identification of corporate assets and the change management life cycle.; We will then explain the importance of awareness and training and conclude with an exploration of physical security operations.; Course 1 Learning Objectives After completing this course, the participant will be able to: - Recall the ISC2 Code of Ethics.; Explain the importance of an organizational code of ethics in the cybersecurity profession.; Compare the security concepts of confidentiality, integrity, and availability.; Apply accountability in the implementation of certain data protection controls.; Explain the concept of non-repudiation.; Discuss the concept of least privilege.; Indicate the importance of segregation of duties.; Differentiate technical, physical, and administrative security controls.; Relate security controls to considerations of assessing compliance requirements and organizational needs.; Indicate the importance of periodic audit and review of security controls.; Categorize various control types or technologies based on their different roles as part of an overall security structure and posture.; Summarize the security of assets all through the stages of their life cycle.; Examine operational requirements of change management.; Categorize security education and awareness strategies.; Define measurements for gauging the effectiveness of a security education and awareness program.; Indicate strategies that security professionals can use to collaborate with physical security operations.; Who Should Take This Course: Beginners Experience Required: No prior experience required"
0, Incident Response and Recovery,1,,,"Course 4 -  Incident Response and Recovery;This is the fourth course under the specialization SSCP

In this course, we will focus on incident response and recovery. We will explore the incident life cycle as defined by NIST and continue with a deeper look at supporting forensic investigations. We will also extend these ideas and concepts around the theme of business continuity and disaster recovery. 

Course 4 Learning Objectives

After completing this course, the participant will be able to:  

- Identify the elements of an incident response policy and members of the incident response team (IRT).  
- Evaluate the security professional’s role in supporting forensic investigations.   
- Explain how the security professional supports activities of business continuity and disaster recovery planning. 

Who Should Take This Course: Beginners
Experience Required: No prior experience required",https://www.coursera.org/learn/incident-response-and-recovery,"Incident Response and Recovery; Course 4 - Incident Response and Recovery;This is the fourth course under the specialization SSCP In this course, we will focus on incident response and recovery.; We will explore the incident life cycle as defined by NIST and continue with a deeper look at supporting forensic investigations.; We will also extend these ideas and concepts around the theme of business continuity and disaster recovery.; Course 4 Learning Objectives After completing this course, the participant will be able to: - Identify the elements of an incident response policy and members of the incident response team (IRT).; Evaluate the security professional’s role in supporting forensic investigations.; Explain how the security professional supports activities of business continuity and disaster recovery planning.; Who Should Take This Course: Beginners Experience Required: No prior experience required"
0,"Risk Identification, Monitoring, and Analysis",1,,,"Course 3 -  Risk Identification, Monitoring and Analysis;This is the third course under the specialization SSCP

In this course, we will explore how to manage the risks related to information systems. It is time to bring these ideas together in a context of continuous maturity modeling, measuring, and monitoring, which we will see is focused on the here and now. Risk alignment works best at the strategic, long-term level of planning; risk maturation, by contrast, can be most effective when considered in the day-to-day of business operations. This is sometimes called operationalizing the approach to risk management and maturation.   

Course 3 Learning Objectives

After completing this course, the participant will be able to:  

- Identify common risks and vulnerabilities.  
- Describe risk management concepts.  
- Recognize risk management frameworks.  
- Provide examples of appropriate risk tolerance.  
- Provide examples of appropriate risk treatment.  
- Identify risks of noncompliance with laws and regulations.  
- Identify appropriate methods for risk management frameworks implementation.  
- Indicate the range and scope of risk review.  
- Identify the components of risk review.  
- Describe vulnerability assessment activities used to examine all aspects of network and system security.  
- Review the steps for monitoring, incident detection, and data loss prevention.  
- Classify the use of tools that collect information about the IT environment to better examine the organization’s security posture.  
- Identify events of interest to focus on those that may be part of an attack or intrusion.  
- Select methods for managing log files.  
- Describe tools and methods for analyzing the results of monitoring efforts.  
- Identify communication requirements when documenting and reporting the results of monitoring security platforms.   

Who Should Take This Course: Beginners
Experience Required: No prior experience required",https://www.coursera.org/learn/risk-identification-monitoring-and-analysis,"Risk Identification, Monitoring, and Analysis; Course 3 - Risk Identification, Monitoring and Analysis;This is the third course under the specialization SSCP In this course, we will explore how to manage the risks related to information systems.; It is time to bring these ideas together in a context of continuous maturity modeling, measuring, and monitoring, which we will see is focused on the here and now.; Risk alignment works best at the strategic, long-term level of planning; risk maturation, by contrast, can be most effective when considered in the day-to-day of business operations.; This is sometimes called operationalizing the approach to risk management and maturation.; Course 3 Learning Objectives After completing this course, the participant will be able to: - Identify common risks and vulnerabilities.; Describe risk management concepts.; Recognize risk management frameworks.; Provide examples of appropriate risk tolerance.; Provide examples of appropriate risk treatment.; Identify risks of noncompliance with laws and regulations.; Identify appropriate methods for risk management frameworks implementation.; Indicate the range and scope of risk review.; Identify the components of risk review.; Describe vulnerability assessment activities used to examine all aspects of network and system security.; Review the steps for monitoring, incident detection, and data loss prevention.; Classify the use of tools that collect information about the IT environment to better examine the organization’s security posture.; Identify events of interest to focus on those that may be part of an attack or intrusion.; Select methods for managing log files.; Describe tools and methods for analyzing the results of monitoring efforts.; Identify communication requirements when documenting and reporting the results of monitoring security platforms.; Who Should Take This Course: Beginners Experience Required: No prior experience required"
0,Cryptography ,1,,,"Course 5 -  Cryptography;This is the fifth course under the specialization SSCP.

In this course, we will explore the field of cryptography, including public-key infrastructures (PKIs), certificates, and digital signing. Here we enter the realm of confidentiality, integrity, and availability, since we use cryptography to protect data from unauthorized disclosure and improper modification and use encryption to regulate the ability of users to log in to systems and applications. 

Course 5 Learning Objectives

After completing this course, the participant will be able to:  

- Recognize the impacts of cryptography on confidentiality, integrity, and authenticity.  
- Determine the requirements for cryptography when handling sensitive data.  
- Identify regulatory and industry best practices in cryptography.  
- Define cryptography entropy.  
- Differentiate common cryptographic techniques used to enhance the security of sensitive data including hashing, salting, symmetric/asymmetric encryption, and elliptic curve cryptography.  
- Identify the features and requirements of nonrepudiation.  
- Compare the strength of different encryption algorithms and keys.  
- Describe the process of identifying and addressing cryptographic attacks.  
- Define the features of and the implementation process of secure services and protocols.  
- Discuss common use cases for secure services and protocols.  
- Explain limitations and vulnerabilities in the implementation of secure protocols.  
- Summarize fundamental key management concepts.  
- Describe the features of the Web of Trust (WoT) in relation to cryptographic protocols.  

Who Should Take This Course: Beginners
Experience Required: No prior experience required",https://www.coursera.org/learn/cryptography1,"Cryptography; Course 5 - Cryptography;This is the fifth course under the specialization SSCP.; In this course, we will explore the field of cryptography, including public-key infrastructures (PKIs), certificates, and digital signing.; Here we enter the realm of confidentiality, integrity, and availability, since we use cryptography to protect data from unauthorized disclosure and improper modification and use encryption to regulate the ability of users to log in to systems and applications.; Course 5 Learning Objectives After completing this course, the participant will be able to: - Recognize the impacts of cryptography on confidentiality, integrity, and authenticity.; Determine the requirements for cryptography when handling sensitive data.; Identify regulatory and industry best practices in cryptography.; Define cryptography entropy.; Differentiate common cryptographic techniques used to enhance the security of sensitive data including hashing, salting, symmetric/asymmetric encryption, and elliptic curve cryptography.; Identify the features and requirements of nonrepudiation.; Compare the strength of different encryption algorithms and keys.; Describe the process of identifying and addressing cryptographic attacks.; Define the features of and the implementation process of secure services and protocols.; Discuss common use cases for secure services and protocols.; Explain limitations and vulnerabilities in the implementation of secure protocols.; Summarize fundamental key management concepts.; Describe the features of the Web of Trust (WoT) in relation to cryptographic protocols.; Who Should Take This Course: Beginners Experience Required: No prior experience required"
0,Network and Communications Security ,1,,,"Course 6 -  Network and Communications Security;This is the sixth course under the specialization SSCP.

This course includes an orientation to the network neighborhood via the OSI 7-Layer and TCP/IP models in the context of internetworking and communications. It also probes each of the seven layers of this combined protocol stack, introducing the key technologies at each layer and their normal uses. There is also information on various protocols that run on top of this architecture, as well as attack and defensive strategies and tactics. Additionally, discussed in this course is how to manage network security and secure wireless communications. 
Course 6 Learning Objectives

After completing this course, the participant will be able to:  

- Recognize layers of the OSI model, their functions and attacks present at each layer, and identify commonly used ports and protocols.  
- Select appropriate security controls for various network attacks.  
- Describe the tools used for network access control.  
- Summarize best practices for establishing a secure networked environment.  
- Understand how to configure and operate security devices such as firewalls and proxies. 
- Summarize the types of telecommunications and network access controls. 

Who Should Take This Course: Beginners
Experience Required: No prior experience required",https://www.coursera.org/learn/network-and-communications-security,"Network and Communications Security; Course 6 - Network and Communications Security;This is the sixth course under the specialization SSCP.; This course includes an orientation to the network neighborhood via the OSI 7-Layer and TCP/IP models in the context of internetworking and communications.; It also probes each of the seven layers of this combined protocol stack, introducing the key technologies at each layer and their normal uses.; There is also information on various protocols that run on top of this architecture, as well as attack and defensive strategies and tactics.; Additionally, discussed in this course is how to manage network security and secure wireless communications.; Course 6 Learning Objectives After completing this course, the participant will be able to: - Recognize layers of the OSI model, their functions and attacks present at each layer, and identify commonly used ports and protocols.; Select appropriate security controls for various network attacks.; Describe the tools used for network access control.; Summarize best practices for establishing a secure networked environment.; Understand how to configure and operate security devices such as firewalls and proxies.; Summarize the types of telecommunications and network access controls.; Who Should Take This Course: Beginners Experience Required: No prior experience required"
0,Access Control,1,,,"Course 2 -  Access Controls;This is the second course under the specialization SSCP.

In this course, we will examine the business of controlling how our systems, services, resources and data can be Safely accessed only by those authorized to do so. We will discuss authentication methods, trust, the identity management life cycle and access control models.   

Course 2 Learning Objectives

After completing this course, the participant will be able to:  

- Categorize identity and access management implementation authentication methods.  
- Discuss the importance of trust from a security standpoint.  
- Compare levels of trust among various relationships and internetwork architectures.  
- Explain the implications of trust among third-party connections.  
- Differentiate among the activities of the identity management life cycle.  
- Categorize various access control models.  
- Define the elements, methods, and processes used when administering access control models.  

Who Should Take This Course: Beginners
Experience Required: No prior experience required",https://www.coursera.org/learn/access-controls,"Access Control; Course 2 - Access Controls;This is the second course under the specialization SSCP.; In this course, we will examine the business of controlling how our systems, services, resources and data can be Safely accessed only by those authorized to do so.; We will discuss authentication methods, trust, the identity management life cycle and access control models.; Course 2 Learning Objectives After completing this course, the participant will be able to: - Categorize identity and access management implementation authentication methods.; Discuss the importance of trust from a security standpoint.; Compare levels of trust among various relationships and internetwork architectures.; Explain the implications of trust among third-party connections.; Differentiate among the activities of the identity management life cycle.; Categorize various access control models.; Define the elements, methods, and processes used when administering access control models.; Who Should Take This Course: Beginners Experience Required: No prior experience required"
1,Frontend Development using React,3,,,"Welcome to the Frontend Development using React course! In this program, you will learn the fundamentals of frontend development and how to build web applications using the React library.;The course is best suitable for people with familiarity with web development.

The first module, Introduction to HTML & CSS, will introduce you to the basics of HTML and CSS, which are the building blocks of web development. You will learn how to structure content with HTML and apply styles to your web pages with CSS.

The second module, Introduction to JavaScript Programming, will teach you the fundamentals of JavaScript, the programming language that powers interactive web applications. You will learn about variables, data types, control structures, functions, and more.

In the third module, React for Frontend Development, you will dive into React, a popular JavaScript library for building user interfaces. You will learn how to set up a React project, create components, and manage state in your application.

By the end of this course, you will have a solid understanding of frontend development principles and how to use React to build interactive and dynamic web applications.",https://www.coursera.org/learn/frontend-development-using-react,"Frontend Development using React; Welcome to the Frontend Development using React course!; In this program, you will learn the fundamentals of frontend development and how to build web applications using the React library.; ;The course is best suitable for people with familiarity with web development.; The first module, Introduction to HTML & CSS, will introduce you to the basics of HTML and CSS, which are the building blocks of web development.; You will learn how to structure content with HTML and apply styles to your web pages with CSS.; The second module, Introduction to JavaScript Programming, will teach you the fundamentals of JavaScript, the programming language that powers interactive web applications.; You will learn about variables, data types, control structures, functions, and more.; In the third module, React for Frontend Development, you will dive into React, a popular JavaScript library for building user interfaces.; You will learn how to set up a React project, create components, and manage state in your application.; By the end of this course, you will have a solid understanding of frontend development principles and how to use React to build interactive and dynamic web applications."
1,.Net Full Stack Foundation,3,"Understand .NET framework: Master ASP.NET for dynamic web apps, emphasizing web forms, server controls, and data-driven techniques.;Proficiency in C#: Learn data types, variables, operators, and control program flow using conditionals and loops efficiently.;Advanced C# concepts: Master object-oriented principles like inheritance, polymorphism; and techniques like extension methods.;Delve into advanced exception handling techniques, create custom exceptions, and seamlessly implement asynchronous C# code.",,"Embark on a deep dive into the dynamic universe of .Net Full Stack Development with this comprehensive course. This course is meticulously crafted for those venturing into the .Net domain, ensuring a solid foundational grasp.;In the first module, Introduction to ASP.NET, dive into .Net development, acquainting yourself with the essence of ASP.NET, the .NET framework, and its synergy with the C# language. Experience first-hand the crafting of dynamic web applications and basic programming techniques using .Net tools.

Progressing to the second module, C# Programming Fundamentals, delve into C# essentials. This module introduces core elements like syntax, variables, and control structures, bolstered by hands-on assignments designed to enhance your programming skill set.

Finally, in the third module, Advanced C# Programming, explore deeper facets of C#. From LINQ, delegates, and events to intricate OOP principles, this module ensures you grasp advanced concepts and master key techniques for robust exception handling.

By the end of this course, you'll possess a profound mastery over .Net Full Stack Development, poised to craft efficient .Net applications and primed to explore even more advanced .Net technologies.",https://www.coursera.org/learn/dot-net-full-stack-foundation,"Understand .NET framework: Master ASP.NET for dynamic web apps, emphasizing web forms, server controls, and data-driven techniques.; Proficiency in C#: Learn data types, variables, operators, and control program flow using conditionals and loops efficiently.; Advanced C# concepts: Master object-oriented principles like inheritance, polymorphism; and techniques like extension methods.; Delve into advanced exception handling techniques, create custom exceptions, and seamlessly implement asynchronous C# code."
1,Backend Development for .Net Full Stack ,3,,,"Immerse yourself in the intricate universe of .NET backend development with this comprehensive course tailored for individuals aiming to master the ASP.NET ecosystem. This three-module course is perfect for both beginners in .NET and those with some frontend experience, eager to expand their backend expertise.;In the first module, ASP.NET Core, participants are introduced to ASP.NET Core's architecture and tools, gaining hands-on exposure to modern web application development.

In the second module, ASP.NET MVC, attendees will explore the MVC (Model-View-Controller) architecture, understanding its foundational pillars. Practical evaluations will further solidify their knowledge, ensuring a grasp of its workflow and components.

The third module, ASP.NET Web API, directs focus towards RESTful web services using ASP.NET. From understanding the essence of REST and HTTP protocol, attendees will learn to design and implement robust web APIs with efficiency.

By the conclusion of this course, attendees will possess a comprehensive grasp of backend development in the .NET framework. They will be adept at creating dynamic web applications, designing robust APIs, and ensuring that their applications are both secure and scalable.",https://www.coursera.org/learn/backend-development-dot-net-fullstack,"Backend Development for .Net Full Stack; Immerse yourself in the intricate universe of .NET backend development with this comprehensive course tailored for individuals aiming to master the ASP.NET ecosystem.; This three-module course is perfect for both beginners in .NET and those with some frontend experience, eager to expand their backend expertise.; ;In the first module, ASP.NET Core, participants are introduced to ASP.NET Core's architecture and tools, gaining hands-on exposure to modern web application development.; In the second module, ASP.NET MVC, attendees will explore the MVC (Model-View-Controller) architecture, understanding its foundational pillars.; Practical evaluations will further solidify their knowledge, ensuring a grasp of its workflow and components.; The third module, ASP.NET Web API, directs focus towards RESTful web services using ASP.NET.; From understanding the essence of REST and HTTP protocol, attendees will learn to design and implement robust web APIs with efficiency.; By the conclusion of this course, attendees will possess a comprehensive grasp of backend development in the .NET framework.; They will be adept at creating dynamic web applications, designing robust APIs, and ensuring that their applications are both secure and scalable."
